nombrefoto,urlfoto,categoria
IMG_6729_reduced,https://franguerrero.github.io/ferialora/fotos/2022/IMG_6729_reduced.jpg,/categoriafotos/n4xFopL2mtd5rnhrCNp2
IMG_6706_reduced,https://franguerrero.github.io/ferialora/fotos/2022/IMG_6706_reduced.jpg,/categoriafotos/n4xFopL2mtd5rnhrCNp2
IMG_6722_reduced,https://franguerrero.github.io/ferialora/fotos/2022/IMG_6722_reduced.jpg,/categoriafotos/n4xFopL2mtd5rnhrCNp2
IMG_6695_reduced,https://franguerrero.github.io/ferialora/fotos/2022/IMG_6695_reduced.jpg,/categoriafotos/n4xFopL2mtd5rnhrCNp2
IMG_6703_reduced,https://franguerrero.github.io/ferialora/fotos/2022/IMG_6703_reduced.jpg,/categoriafotos/n4xFopL2mtd5rnhrCNp2
IMG_6717_reduced,https://franguerrero.github.io/ferialora/fotos/2022/IMG_6717_reduced.jpg,/categoriafotos/n4xFopL2mtd5rnhrCNp2
IMG_6832_reduced,https://franguerrero.github.io/ferialora/fotos/2022/IMG_6832_reduced.jpg,/categoriafotos/n4xFopL2mtd5rnhrCNp2
IMG_6719_reduced,https://franguerrero.github.io/ferialora/fotos/2022/IMG_6719_reduced.jpg,/categoriafotos/n4xFopL2mtd5rnhrCNp2
IMG_6707_reduced,https://franguerrero.github.io/ferialora/fotos/2022/IMG_6707_reduced.jpg,/categoriafotos/n4xFopL2mtd5rnhrCNp2
IMG_6766_reduced,https://franguerrero.github.io/ferialora/fotos/2022/IMG_6766_reduced.jpg,/categoriafotos/n4xFopL2mtd5rnhrCNp2
IMG_6696_reduced,https://franguerrero.github.io/ferialora/fotos/2022/IMG_6696_reduced.jpg,/categoriafotos/n4xFopL2mtd5rnhrCNp2
IMG_6767_reduced,https://franguerrero.github.io/ferialora/fotos/2022/IMG_6767_reduced.jpg,/categoriafotos/n4xFopL2mtd5rnhrCNp2
portada2022_reduced,https://franguerrero.github.io/ferialora/fotos/2022/portada2022_reduced.jpg,/categoriafotos/n4xFopL2mtd5rnhrCNp2
caseta2022_reduced,https://franguerrero.github.io/ferialora/fotos/2022/caseta2022_reduced.jpg,/categoriafotos/n4xFopL2mtd5rnhrCNp2
IMG_6700_reduced,https://franguerrero.github.io/ferialora/fotos/2022/IMG_6700_reduced.jpg,/categoriafotos/n4xFopL2mtd5rnhrCNp2
portadanoche2022_reduced,https://franguerrero.github.io/ferialora/fotos/2022/portadanoche2022_reduced.jpg,/categoriafotos/n4xFopL2mtd5rnhrCNp2
